TimeStep,PursuerPolicyNominal,PursuerCommandNominal,PursuerRealizedNominal,PursuerPolicyUncompensated,PursuerCommandUncompensated,PursuerRealizedUncompensated,PursuerPolicyEstimated,PursuerCommandEstimated,PursuerRealizedEstimated,PursuerPolicyExact,PursuerCommandExact,PursuerRealizedExact,EvaderPolicyNominal,EvaderCommandNominal,EvaderRealizedNominal,EvaderPolicyUncompensated,EvaderCommandUncompensated,EvaderRealizedUncompensated,EvaderPolicyEstimated,EvaderCommandEstimated,EvaderRealizedEstimated,EvaderPolicyExact,EvaderCommandExact,EvaderRealizedExact
0,1.44670089247045,1.44670089247045,1.44670089247045,1.44670089247045,1.44670089247045,1.48670089247045,1.44670089247045,1.40669952544144,1.44669952544144,1.44670089247045,1.40670089247045,1.44670089247045,2.08559551823728,2.08559551823728,2.08559551823728,2.08559551823728,2.08559551823728,2.07559551823728,2.08559551823728,2.09588295578996,2.08588295578996,2.08559551823728,2.09559551823728,2.08559551823728
1,1.22916697920994,1.22916697920994,1.22916697920994,1.22682422558287,1.22682422558287,1.26682422558287,1.22916729837776,1.18916593134875,1.22916593134875,1.22916697920994,1.18916697920994,1.22916697920994,2.03989443264108,2.03989443264108,2.03989443264108,2.03982105640762,2.03982105640762,2.02982105640762,2.03989484979521,2.05018228734789,2.04018228734789,2.03989443264108,2.04989443264108,2.03989443264108
2,1.19506271477595,1.19506271477595,1.19506271477595,1.19249972530899,1.19249972530899,1.23249972530899,1.19506326467661,1.1550618976476,1.1950618976476,1.19506271477595,1.15506271477595,1.19506271477595,1.99642504838417,1.99642504838417,1.99642504838417,1.9962791305323,1.9962791305323,1.9862791305323,1.99642587042459,2.00671330797726,1.99671330797726,1.99642504838417,2.00642504838417,1.99642504838417
3,1.1746714486461,1.1746714486461,1.1746714486461,1.17204914588985,1.17204914588985,1.21204914588985,1.17467222034541,1.13467085331641,1.17467085331641,1.1746714486461,1.1346714486461,1.1746714486461,1.95490306299567,1.95490306299567,1.95490306299567,1.95468551674598,1.95468551674598,1.94468551674598,1.95490427870088,1.96519171625356,1.95519171625356,1.95490306299567,1.96490306299567,1.95490306299567
4,1.15527771681937,1.15527771681937,1.15527771681937,1.1526091216603,1.1526091216603,1.1926091216603,1.15527870716302,1.11527734013401,1.15527734013401,1.15527771681937,1.11527771681937,1.15527771681937,1.91509104673298,1.91509104673298,1.91509104673298,1.91480283813388,1.91480283813388,1.90480283813388,1.9150926457658,1.92538008331847,1.91538008331847,1.91509104673298,1.92509104673298,1.91509104673298
5,1.13598587201446,1.13598587201446,1.13598587201446,1.13327281984316,1.13327281984316,1.17327281984316,1.13598707811904,1.09598571109003,1.13598571109003,1.13598587201445,1.09598587201445,1.13598587201445,1.87679098349018,1.87679098349018,1.87679098349018,1.87643311780621,1.87643311780621,1.86643311780621,1.87679295626321,1.88708039381589,1.87708039381589,1.87679098349018,1.88679098349018,1.87679098349018
6,1.11677926846604,1.11677926846604,1.11677926846604,1.1140227187733,1.1140227187733,1.1540227187733,1.11678068734327,1.07677932031426,1.11677932031426,1.11677926846604,1.07677926846604,1.11677926846604,1.8398374988982,1.8398374988982,1.8398374988982,1.83941101000795,1.83941101000795,1.82941101000795,1.83983983646235,1.85012727401503,1.84012727401503,1.8398374988982,1.8498374988982,1.8398374988982
7,1.09769767014279,1.09769767014279,1.09769767014279,1.09489848723942,1.09489848723942,1.13489848723942,1.09769929870347,1.05769793167447,1.09769793167447,1.09769767014279,1.05769767014279,1.09769767014279,1.80409221960457,1.80409221960457,1.80409221960457,1.80359816135303,1.80359816135303,1.79359816135303,1.80409491355656,1.81438235110924,1.80438235110924,1.80409221960457,1.81409221960457,1.80409221960457
8,1.07877697667908,1.07877697667908,1.07877697667908,1.0759359915661,1.0759359915661,1.1159359915661,1.07877881175997,1.03877744473096,1.07877744473096,1.07877697667908,1.03877697667908,1.07877697667908,1.76943910949257,1.76943910949257,1.76943910949257,1.76887854861678,1.76887854861678,1.75887854861678,1.76944215189827,1.77972958945094,1.76972958945094,1.76943910949257,1.77943910949257,1.76943910949257
9,1.06004610932966,1.06004610932966,1.06004610932966,1.05716412689505,1.05716412689505,1.09716412689505,1.06004814771722,1.02004678068821,1.06004678068821,1.06004610932966,1.02004610932966,1.06004610932966,1.73578061615135,1.73578061615135,1.73578061615135,1.73515462650158,1.73515462650158,1.72515462650158,1.73578399948205,1.74607143703472,1.73607143703472,1.73578061615135,1.74578061615135,1.73578061615135
10,1.04152795660144,1.04152795660144,1.04152795660144,1.03860575829156,1.03860575829156,1.07860575829156,1.04153019505141,1.00152882802241,1.04152882802241,1.04152795660144,1.00152795660144,1.04152795660144,1.70303448693679,1.70303448693679,1.70303448693679,1.70234414476644,1.70234414476644,1.69234414476644,1.70303820401626,1.71332564156894,1.70332564156894,1.70303448693679,1.71303448693679,1.70303448693679
11,1.02324042030063,1.02324042030063,1.02324042030063,1.02027876611578,1.02027876611578,1.06027876611578,1.02324285555397,0.983241488524963,1.02324148852496,1.02324042030063,0.983240420300626,1.02324042030063,1.67113113820212,1.67113113820212,1.67113113820212,1.67037751833943,1.67037751833943,1.66037751833943,1.67113518216259,1.68142261971526,1.67142261971526,1.67113113820212,1.68113113820212,1.67113113820212
12,1.00519729931764,1.00519729931764,1.00519729931764,1.00219692947979,1.00219692947979,1.04219692947979,1.00519992811357,0.965198561084563,1.00519856108456,1.00519729931764,0.965197299317637,1.00519729931764,1.64001148150725,1.64001148150725,1.64001148150725,1.63919565425427,1.63919565425427,1.62919565425427,1.64001584575268,1.65030328330535,1.64030328330535,1.64001148150725,1.65001148150725,1.64001148150725
13,0.987409020891285,0.987409020891285,0.987409020891285,0.984370657257416,0.984370657257416,1.02437065725742,0.987411839977826,0.947410472948817,0.987410472948817,0.987409020891284,0.947409020891284,0.987409020891284,1.60962512734296,1.60962512734296,1.60962512734296,1.60874815597418,1.60874815597418,1.59874815597418,1.60962980551841,1.61991724307108,1.60991724307108,1.60962512734296,1.61962512734296,1.60962512734296
14,0.969883244489736,0.969883244489736,0.969883244489736,0.966807591755906,0.966807591755906,1.00680759175591,0.969886250632236,0.929884883603227,0.969884883603227,0.969883244489736,0.929883244489736,0.969883244489736,1.57992890072539,1.57992890072539,1.57992890072539,1.57899183948069,1.57899183948069,1.56899183948069,1.57993388669145,1.59022132424412,1.58022132424412,1.57992890072538,1.58992890072538,1.57992890072538
15,0.952625360362482,0.952625360362482,0.952625360362482,0.949513107094312,0.949513107094312,0.989513107094312,0.952628550350499,0.91262718332149,0.95262718332149,0.952625360362482,0.912625360362482,0.952625360362482,1.55088561443264,1.55088561443264,1.55088561443264,1.54988950691752,1.54988950691752,1.53988950691752,1.55089090224398,1.56117833979665,1.55117833979665,1.55088561443264,1.56088561443264,1.55088561443264
16,0.935638901078965,0.935638901078965,0.935638901078965,0.932490720598158,0.932490720598158,0.972490720598158,0.935642271731757,0.895640904702748,0.935640904702748,0.935638901078965,0.895638901078965,0.935638901078965,1.52246305508581,1.52246305508581,1.52246305508581,1.52140893300699,1.52140893300699,1.51140893300699,1.52246863897317,1.53275607652585,1.52275607652585,1.52246305508581,1.53246305508581,1.52246305508581
17,0.918925881191457,0.918925881191457,0.918925881191457,0.915742432342729,0.915742432342729,0.955742432342729,0.918929429362349,0.87892806233334,0.91892806233334,0.918925881191456,0.878925881191456,0.918925881191456,1.4946331450675,1.4946331450675,1.4946331450675,1.49352202724455,1.49352202724455,1.48352202724455,1.49463901942255,1.50492645697522,1.49492645697522,1.4946331450675,1.5046331450675,1.4946331450675
18,0.902487077527633,0.902487077527633,0.902487077527633,0.89926900534624,0.89926900534624,0.93926900534624,0.902490800107452,0.862489433078443,0.902489433078443,0.902487077527633,0.862487077527633,0.902487077527633,1.46737124970665,1.46737124970665,1.46737124970665,1.46620414131067,1.46620414131067,1.45620414131067,1.46737740906916,1.47766484662183,1.46766484662183,1.46737124970665,1.47737124970665,1.46737124970665
19,0.886322260443392,0.886322260443392,0.886322260443392,0.883070196739918,0.883070196739918,0.923070196739918,0.886326154363135,0.846324787334126,0.886324787334126,0.886322260443392,0.846322260443392,0.886322260443392,1.44065560447495,1.44065560447495,1.44065560447495,1.43943349645374,1.43943349645374,1.42943349645374,1.44066204352199,1.45094948107467,1.44094948107467,1.44065560447495,1.45065560447495,1.44065560447495
20,0.870430384569776,0.870430384569776,0.870430384569776,0.867144948445981,0.867144948445981,0.907144948445981,0.870434446802646,0.830433079773638,0.870433079773638,0.870430384569776,0.830430384569776,0.870430384569776,1.41446684133218,1.41446684133218,1.41446684133218,1.41319070998857,1.41319070998857,1.40319070998857,1.41447355486886,1.42476099242154,1.41476099242154,1.41446684133218,1.42446684133218,1.41446684133218
21,0.854809746103625,0.854809746103625,0.854809746103625,0.851491544410747,0.851491544410747,0.891491544410747,0.854813973666557,0.814812606637548,0.854812606637548,0.854809746103624,0.814809746103624,0.854809746103624,1.38878759698565,1.38878759698565,1.38878759698565,1.38745840368135,1.38745840368135,1.37745840368135,1.38879457993724,1.39908201748991,1.38908201748991,1.38878759698565,1.39878759698565,1.38878759698565
22,0.839458112465487,0.839458112465487,0.839458112465487,0.836107740214422,0.836107740214422,0.876107740214422,0.839462502420242,0.799461135391233,0.839461135391233,0.839458112465487,0.799458112465487,0.839458112465487,1.36360218882637,1.36360218882637,1.36360218882637,1.36222087978861,1.36222087978861,1.35222087978861,1.36360943623153,1.3738968737842,1.3638968737842,1.36360218882637,1.37360218882637,1.36360218882637
